Index,Metropolitian Area/City,Country,Official est. GDP(billion US$),Metropolitian Population,Metropolitian_Area,City
221,"Durham-Chapel Hill, NC MSA",United States,63950.0,664310,Durham-Chapel Hill,NC MSA
222,"East Stroudsburg, PA MSA",United States,10009.0,167198,East Stroudsburg,PA MSA
223,"Eau Claire, WI MSA",United States,10839.0,173644,Eau Claire,WI MSA
224,Edinburgh,United Kingdom,329.0,527620,Edinburgh,
225,Edmonton Metropolitan Region,Canada,6523.0,1467219,Edmonton Metropolitan Region,
226,Eindhoven,Netherlands,48257.0,300751,Eindhoven,
227,"El Centro, CA MSA",United States,11064.0,178713,El Centro,CA MSA
228,"El Paso, TX MSA",United States,43283.0,872195,El Paso,TX MSA
229,"Elizabethtown-Fort Knox, KY MSA",United States,7500.0,157026,Elizabethtown-Fort Knox,KY MSA
230,"Elkhart-Goshen, IN MSA",United States,21094.0,206890,Elkhart-Goshen,IN MSA
231,"Elmira, NY MSA",United States,4337.0,81426,Elmira,NY MSA
232,"Enid, OK MSA",United States,3319.0,61920,Enid,OK MSA
233,Enschede,Netherlands,27337.0,315807,Enschede,
234,Erfurt,Germany,20347.0,213227,Erfurt,
235,"Erie, PA MSA",United States,13171.0,267689,Erie,PA MSA
236,"Eugene-Springfield, OR MSA",United States,20913.0,382353,Eugene-Springfield,OR MSA
237,European Metropolis of Lille,France,101806.0,1300000,European Metropolis of Lille,
238,"Evansville, IN-KY MSA",United States,25278.0,314038,Evansville,IN-KY MSA
239,Ezhou,China,14574.0,1079353,Ezhou,
240,"Fairbanks, AK MSA",United States,6804.0,95356,Fairbanks,AK MSA
241,Faisalabad,Pakistan,43.0,3204704,Faisalabad,
242,Fangchenggang,China,10624.0,1046068,Fangchenggang,
243,"Fargo, ND-MN MSA",United States,18792.0,258663,Fargo,ND-MN MSA
244,"Farmington, NM MSA",United States,6594.0,120418,Farmington,NM MSA
245,"Fayetteville-Springdale-Rogers, AR MSA",United States,37749.0,576403,Fayetteville-Springdale-Rogers,AR MSA
246,"Fayetteville, NC MSA",United States,25960.0,529318,Fayetteville,NC MSA
247,"Flagstaff, AZ MSA",United States,9080.0,144060,Flagstaff,AZ MSA
248,Flensburg,Germany,10839.0,113800,Flensburg,
249,"Flint, MI MSA",United States,17635.0,401983,Flint,MI MSA
250,"Florence-Muscle Shoals, AL MSA",United States,6540.0,153911,Florence-Muscle Shoals,AL MSA
251,"Florence, SC MSA",United States,11807.0,199119,Florence,SC MSA
252,"Fond du Lac, WI MSA",United States,6203.0,103836,Fond du Lac,WI MSA
253,"Fort Collins, CO MSA",United States,25923.0,366778,Fort Collins,CO MSA
254,"Fort Smith, AR-OK MSA",United States,12024.0,247072,Fort Smith,AR-OK MSA
255,"Fort Wayne, IN MSA",United States,28565.0,426076,Fort Wayne,IN MSA
256,Fort-de-France,France,10741.0,74921,Fort-de-France,
257,Fortaleza,Brazil,217.0,3326820,Fortaleza,
258,Freiburg im Breisgau,Germany,30404.0,656753,Freiburg im Breisgau,
259,"Fresno, CA MSA",United States,55427.0,1015190,Fresno,CA MSA
260,Fukuoka–Kitakyushu,Japan,182952.0,4750000,Fukuoka–Kitakyushu,
261,Fuzhou,China,183.0,4450000,Fuzhou,
262,"Gadsden, AL MSA",United States,3489.0,103088,Gadsden,AL MSA
263,"Gainesville, FL MSA",United States,19655.0,348282,Gainesville,FL MSA
264,"Gainesville, GA MSA",United States,15264.0,212692,Gainesville,GA MSA
265,Gdansk metropolitan area,Poland,23448.0,1098379,Gdansk,
266,Geelong,Australia,8725.0,271848,Geelong,
267,Geneva,Switzerland,55423.0,506343,Geneva,
